associatedlevel,locationLevel1,locationLevel2,locationLevel3,locationLevel4,serviceArea
Building Name/Block,Delhi,NULL,NULL,Chandni Chowk,Gurgaon
Building Name/Block,DLF Phase I,NULL,,A Block,Gurgaon
Building Name/Block,DLF Phase I,,,Silveroaks,Gurgaon
Building Name/Block,DLF Phase I,,,B Block,Gurgaon
Building Name/Block,DLF Phase II,,,Heritage City,Gurgaon
Building Name/Block,DLF Phase III,,,Garden Estate,Gurgaon
Building Name/Block,DLF Phase IV,,,Maruti Vihar,Gurgaon
Building Name/Block,DLF Phase III,,,Nathupur,Gurgaon
Building Name/Block,DLF Phase III,,,NMC,Gurgaon
Building Name/Block,DLF Phase II,,,Sahara Grace,Gurgaon
Building Name/Block,DLF Phase I,,,Amaltas Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Arjun Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Ashoka Cresent,Gurgaon
Building Name/Block,DLF Phase I,,,Bodhi Marg,Gurgaon
Building Name/Block,DLF Phase I,,,C Block,Gurgaon
Building Name/Block,DLF Phase I,,,Champa Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Club Marg,Gurgaon
Building Name/Block,DLF Phase I,,,D Block,Gurgaon
Building Name/Block,DLF Phase I,,,Deodhar Marg,Gurgaon
Building Name/Block,DLF Phase I,,,E Block,Gurgaon
Building Name/Block,DLF Phase I,,,F Block,Gurgaon
Building Name/Block,DLF Phase I,,,G Block,Gurgaon
Building Name/Block,DLF Phase I,,,H Block,Gurgaon
Building Name/Block,DLF Phase I,,,Kachnar Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Kusum Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Market Road,Gurgaon
Building Name/Block,DLF Phase I,,,Paschim Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Qutab Plaza,Gurgaon
Building Name/Block,DLF Phase I,,,Shahtoot Marg,Gurgaon
Building Name/Block,DLF Phase I,,,Shopping Mall,Gurgaon
Building Name/Block,DLF Phase I,,,Silveroaks Avenue,Gurgaon
Building Name/Block,DLF Phase I,,,EWS Silveroaks,Gurgaon
Building Name/Block,DLF Phase I,,,Sukhchain Marg,Gurgaon
Building Name/Block,DLF Phase II,,,Akashneem Marg,Gurgaon
Building Name/Block,DLF Phase II,,,BP2,Gurgaon
Building Name/Block,DLF Phase II,,,BVM,Gurgaon
Building Name/Block,DLF Phase II,,,Cassia Marg,Gurgaon
Building Name/Block,DLF Phase II,,,Central Arcade,Gurgaon
Building Name/Block,DLF Phase II,,,Dakshin Marg,Gurgaon
Building Name/Block,DLF Phase II,,,Essel Tower,Gurgaon
Building Name/Block,DLF Phase II,,,J Block,Gurgaon
Building Name/Block,DLF Phase II,,,JCM,Gurgaon
Building Name/Block,DLF Phase II,,,K Block,Gurgaon
Building Name/Block,DLF Phase II,,,L Block,Gurgaon
Building Name/Block,DLF Phase II,,,M Block,Gurgaon
Building Name/Block,DLF Phase II,,,Madhya Marg,Gurgaon
Building Name/Block,DLF Phase II,,,MGF The Villas,Gurgaon
Building Name/Block,DLF Phase II,,,N Block,Gurgaon
Building Name/Block,DLF Phase II,,,Oakwood Estate,Gurgaon
Building Name/Block,DLF Phase II,,,P Block,Gurgaon
Building Name/Block,DLF Phase II,,,Park N Shop,Gurgaon
Building Name/Block,DLF Phase II,,,Poorvi Marg,Gurgaon
Building Name/Block,DLF Phase II,,,Q Block,Gurgaon
Building Name/Block,DLF Phase III,,,Belvedare Park,Gurgaon
Building Name/Block,DLF Phase III,,,Belvedare Tower,Gurgaon
Building Name/Block,DLF Phase III,,,Moulsari Road,Gurgaon
Building Name/Block,DLF Phase III,,,S Block,Gurgaon
Building Name/Block,DLF Phase III,,,Siris Road,Gurgaon
Building Name/Block,DLF Phase III,,,T Block,Gurgaon
Building Name/Block,DLF Phase III,,,U Block,Gurgaon
Building Name/Block,DLF Phase III,,,V Block,Gurgaon
Building Name/Block,DLF Phase III,,,W Block,Gurgaon
Building Name/Block,DLF Phase III,,,X Block,Gurgaon
Building Name/Block,DLF Phase IV,,,Cross Point Mall,Gurgaon
Building Name/Block,DLF Phase IV,,,Galleria,Gurgaon
Building Name/Block,DLF Phase IV,,,Hamilton Court,Gurgaon
Building Name/Block,DLF Phase IV,,,Open Area DLF Phase IV,Gurgaon
Building Name/Block,DLF Phase IV,,,Regent House,Gurgaon
Building Name/Block,DLF Phase IV,,,Richmond Park,Gurgaon
Building Name/Block,DLF Phase IV,,,EWS Richmond Park,Gurgaon
Building Name/Block,DLF Phase IV,,,Ridgewood Estate,Gurgaon
Building Name/Block,DLF Phase IV,,,EWS Ridgewood Estate,Gurgaon
Building Name/Block,DLF Phase IV,,,RP1,Gurgaon
Building Name/Block,DLF Phase IV,,,RP2,Gurgaon
Building Name/Block,DLF Phase IV,,,EWS RP2,Gurgaon
Building Name/Block,DLF Phase IV,,,Super Mart I,Gurgaon
Building Name/Block,DLF Phase IV,,,Super Mart II,Gurgaon
Building Name/Block,DLF Phase IV,,,Windsor Court,Gurgaon
Building Name/Block,DLF Phase IV,,,Chakkarpur,Gurgaon
Building Name/Block,DLF Phase IV,,,Chander Lok,Gurgaon
Building Name/Block,DLF Phase V,,,Carlton Estate,Gurgaon
Building Name/Block,DLF Phase V,,,Exclusive Floors,Gurgaon
Building Name/Block,DLF Phase V,,,Harijon Colony,Gurgaon
Building Name/Block,DLF Phase V,,,ICON,Gurgaon
Building Name/Block,DLF Phase V,,,MGF Palm Spring,Gurgaon
Building Name/Block,DLF Phase V,,,Open Area DLF Phase V,Gurgaon
Building Name/Block,DLF Phase V,,,Park Place,Gurgaon
Building Name/Block,Golf Course Road,,,Parsavnath Exotica,Gurgaon
Building Name/Block,DLF Phase V,,,Pinnacle,Gurgaon
Building Name/Block,DLF Phase V,,,Princeton Estate,Gurgaon
Building Name/Block,DLF Phase V,,,Royalton Tower,Gurgaon
Building Name/Block,Golf Course Road,,,Saraswati Kunj,Gurgaon
Building Name/Block,Golf Course Road,,,South Point Mall,Gurgaon
Building Name/Block,Golf Course Road,,,Summit,Gurgaon
Building Name/Block,DLF Phase V,,,The Belaire,Gurgaon
Building Name/Block,Sector 54,,,The Verandas,Gurgaon
Building Name/Block,DLF Phase V,,,Trinity Tower,Gurgaon
Building Name/Block,DLF Phase V,,,Veritas Building,Gurgaon
Building Name/Block,Golf Course Road,,,Vipul Belmonte,Gurgaon
Building Name/Block,DLF Phase V,,,Wellington Estate,Gurgaon
Building Name/Block,DLF Phase V,,,Westend Heights,Gurgaon
Building Name/Block,MG Road,,,Solitaire Plaza,Gurgaon
Building Name/Block,DLF Phase III,,,Time Tower,Gurgaon
Building Name/Block,DLF Phase IV,,,Vipul Agora,Gurgaon
Building Name/Block,DLF Phase I,,,Sikanderpur,Gurgaon
Building Name/Block,DLF Phase I,,,City Court,Gurgaon
Building Name/Block,Sector 27,,,Open Area Sector 27,Gurgaon
Building Name/Block,Sector 28,,,Open Area Sector 28,Gurgaon
Building Name/Block,Sector 28,,,Janpratinidhi Apartment,Gurgaon
Building Name/Block,Sector 28,,,Sheeba Apartment,Gurgaon
Building Name/Block,Sector 31,,,Raheja Atlantis,Gurgaon
Building Name/Block,Sector 32,,,Iffco Tower,Gurgaon
Building Name/Block,Sector 37C,,,Takhshila Heights,Gurgaon
Building Name/Block,DLF Phase IV,,,Housing Board,Gurgaon
Building Name/Block,Golf Course Road,,,The Aralia,Gurgaon
Building Name/Block,Sector 42,,,Open Area Sector 42,Gurgaon
Building Name/Block,Sector 43,,,Bhawna Apartments,Gurgaon
Building Name/Block,Sector 43,,,Galaxy Apartment,Gurgaon
Building Name/Block,Sector 43,,,Haryana Excise & Taxation,Gurgaon
Building Name/Block,Sector 43,,,Open Area Sector 43,Gurgaon
Building Name/Block,Sector 43,,,Rainbow Apartments,Gurgaon
Building Name/Block,Sector 43,,,Rama ,Gurgaon
Building Name/Block,Sector 43,,,Royal Apartment,Gurgaon
Building Name/Block,Sector 43,,,Surbhi Apartments,Gurgaon
Building Name/Block,Sector 44,,,Open Area Sector 44,Gurgaon
Building Name/Block,Sector 45,,,Greenwood City,Gurgaon
Building Name/Block,Sector 47,,,AVA Court,Gurgaon
Building Name/Block,Sector 49,,,Rosewood City,Gurgaon
Building Name/Block,Sector 55,,,Ansal Plot,Gurgaon
Building Name/Block,Sector 55,,,Huda Plot Sector 55,Gurgaon
Building Name/Block,Sector 55,,,Navkriti Market,Gurgaon
Building Name/Block,Sector 55,,,Open Area Sector 55,Gurgaon
Building Name/Block,Sector 55,,,Sushant Lok II,Gurgaon
Building Name/Block,Sector 56,,,Abhas Apartments,Gurgaon
Building Name/Block,Sector 56,,,Akash Ganga Apartment,Gurgaon
Building Name/Block,Sector 56,,,Alakhnanda Apartments,Gurgaon
Building Name/Block,Sector 56,,,Aravali Apartments,Gurgaon
Building Name/Block,Sector 56,,,Basera Apartments,Gurgaon
Building Name/Block,Sector 56,,,Divya Society,Gurgaon
Building Name/Block,Sector 56,,,Gail Society,Gurgaon
Building Name/Block,Sector 56,,,Ghronda Apartment,Gurgaon
Building Name/Block,Sector 56,,,Gulmohar Apartment,Gurgaon
Building Name/Block,Sector 56,,,Guru Gram Apartments,Gurgaon
Building Name/Block,Sector 56,,,Hewo Apartment I,Gurgaon
Building Name/Block,Sector 56,,,Hewo Apartment II,Gurgaon
Building Name/Block,Sector 56,,,Huda Plot Sector 56,Gurgaon
Building Name/Block,Sector 56,,,Joy Kunj,Gurgaon
Building Name/Block,Sector 56,,,Kendriya Vihar,Gurgaon
Building Name/Block,Sector 56,,,Maitory Apartments,Gurgaon
Building Name/Block,Sector 56,,,More Market,Gurgaon
Building Name/Block,Sector 56,,,Open Area Sector 56,Gurgaon
Building Name/Block,Sector 56,,,Prerna Society,Gurgaon
Building Name/Block,Sector 56,,,Rail Vihar,Gurgaon
Building Name/Block,Sector 56,,,Royal Palm,Gurgaon
Building Name/Block,Sector 56,,,Samriti Apartment,Gurgaon
Building Name/Block,Sector 56,,,Shiv Shakti,Gurgaon
Building Name/Block,Sector 56,,,Shivalya Apartment,Gurgaon
Building Name/Block,Sector 59,,,Tata Raisina,Gurgaon
Building Name/Block,Sector 66,,,Palm Drive,Gurgaon
Building Name/Block,Sector 81,,,Bestech Park View,Gurgaon
Building Name/Block,Sector 85,,,Orris Corination,Gurgaon
Building Name/Block,Sector 86,,,New Town Heights Sector 86,Gurgaon
Building Name/Block,Sector 89,,,Tulip Petals,Gurgaon
Building Name/Block,Sector 90,,,New Town Heights Sector 90,Gurgaon
Building Name/Block,Sector 91,,,New Town Heights Sector 91,Gurgaon
Building Name/Block,Sector 108,,,First India Place,Gurgaon
Building Name/Block,Sector 108,,,Raheja Vedanta,Gurgaon
Building Name/Block,Sector 109,,,Raheja Atharva,Gurgaon
Building Name/Block,Sohna Road,,,Iristech Park,Gurgaon
Building Name/Block,Sohna Road,,,JMD Garden,Gurgaon
Building Name/Block,Sohna Road,,,Ninex,Gurgaon
Building Name/Block,Sohna Road,,,Omaxe Celebration Mall,Gurgaon
Building Name/Block,Sohna Road,,,S S Group,Gurgaon
Building Name/Block,Sohna Road,,,S S Plaza,Gurgaon
Building Name/Block,Sohna Road,,,Sispal Vihar,Gurgaon
Building Name/Block,Sohna Road,,,South City,Gurgaon
Building Name/Block,Sohna Road,,,Spaze It Park,Gurgaon
Building Name/Block,Sohna Road,,,The Saphire,Gurgaon
Building Name/Block,Sohna Road,,,Uppal South,Gurgaon
Building Name/Block,Sohna Road,,,Vipul Trade Center,Gurgaon
Building Name/Block,Daruhera,,,Vipul Garden,Daruhera
Building Name/Block,Daruhera,,,Tower Amul,Daruhera
Building Name/Block,Sector 56,,,Sukh Shanti,Gurgaon
Building Name/Block,Sector 01,,,Manesar,Manesar
Building Name/Block,Faridabad,,,Omaxe Hills 1,Faridabad
Building Name/Block,Faridabad,,,Omaxe Hills 2,Faridabad
Building Name/Block,Faridabad,,,Omaxe Forest Spa,Faridabad
Building Name/Block,Sector 39,,,Gazebo Residency,Gurgaon
Building Name/Block,Sector-103,,,India Bulls Centrum Park,Gurgaon
Building Name/Block,Sector 109,,,Raheja Shilas,Gurgaon
Building Name/Block,Sector 56,,,Ganpati Apartment,Gurgaon
Building Name/Block,Sushant Lok I,,,Open Area Sushant Lok 1,Gurgaon
Building Name/Block,Sushant Lok I,,,Vipul Square,Gurgaon
Building Name/Block,Sector 54,,,Golf Link Apartments,Gurgaon
Building Name/Block,DLF Phase II,,,EWS BP2,Gurgaon
Building Name/Block,Faridabad,,,Tilpat Road,Faridabad
Building Name/Block,Faridabad,,,Ekta Vihar,Faridabad
Building Name/Block,DLF Phase IV,,,Maruti Vihar,Gurgaon
Building Name/Block,Sector 40,,,Open Area Sector 40,Gurgaon
Building Name/Block,Sector 83,,,Open Area Sector 83,Gurgaon
Building Name/Block,Faridabad Road,,,Valley View Estate,Gurgaon
Building Name/Block,NH8,,,Ambience,Gurgaon
Building Name/Block,Daruhera,,,Amul Tower,Daruhera
Building Name/Block,Sector 52,,,Ardee City,Gurgaon
Building Name/Block,Delhi,,,Aya Nagar,Gurgaon
Building Name/Block,Sector 56,,,Devender Vihar,Gurgaon
Building Name/Block,MG Road,,,Grand Mall,Gurgaon
Building Name/Block,DLF Phase II,,,Gulmohar Marg,Gurgaon
Building Name/Block,Sector 56,,,Gurugram Apartment,Gurgaon
Building Name/Block,Sector-103,,,Indiabulls,Gurgaon
Building Name/Block,DLF Phase II,,,JMD Regent Arcade,Gurgaon
